Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
toek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,3,0.0001390047,0.0000190966,12,29,0.0002745367,0.0000277198,
tak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
taang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
taak,syllable,impossible,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tong,syllable,regular,CVN,syllable,5,11,0.0003212542,0.0000359474,16,43,0.0011120378,0.0002737180,115,564,0.0026309769,0.0005391026,
tok,syllable,regular,CVS,syllable,1,2,0.0000642508,0.0000071895,2,2,0.0001390047,0.0000127311,15,69,0.0003431709,0.0000659540,
tung,syllable,regular,CVN,syllable,93,833,0.0059753277,0.0006686222,81,896,0.0056296914,0.0057035189,198,4665,0.0045298559,0.0044590669,
tuk,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ge,syllable,colloquial,CV,syllable,3,3043,0.0001927525,0.0000215685,14,2139,0.0009730331,0.0136158782,6,9998,0.0001372684,0.0095566454,
gyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
goe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gu,syllable,regular,CV,syllable,61,239,0.0039193010,0.0004385587,45,117,0.0031276063,0.0007447675,133,611,0.0030427820,0.0005840278,
go,syllable,regular,CV,syllable,259,5113,0.0166409663,0.0018620769,86,4551,0.0059772032,0.0289695473,355,40649,0.0081217113,0.0388545790,
gaa,syllable,regular,CV,syllable,98,1916,0.0062965819,0.0007045696,101,2897,0.0070197387,0.0184409533,324,18521,0.0074124914,0.0177034037,
gei,syllable,regular,CVV,syllable,169,1140,0.0108583912,0.0012150232,131,1590,0.0091048096,0.0101211998,277,10408,0.0063372226,0.0099485463,
geoi,syllable,regular,CVV,syllable,40,126,0.0025700334,0.0002875794,29,64,0.0020155685,0.0004073942,71,300,0.0016243423,0.0002867567,
gui,syllable,colloquial,CVV,syllable,2,3,0.0001285017,0.0000143790,1,6,0.0000695024,0.0000381932,5,84,0.0001143903,0.0000802919,
goi,syllable,regular,CVV,syllable,13,248,0.0008352609,0.0000934633,8,213,0.0005560189,0.0013558588,31,1220,0.0007092199,0.0011661440,
gai,syllable,regular,CVV,syllable,38,118,0.0024415317,0.0002732005,34,173,0.0023630803,0.0011012375,129,1245,0.0029512697,0.0011900404,
gaai,syllable,regular,CVV,syllable,61,355,0.0039193010,0.0004385587,50,341,0.0034751182,0.0021706472,148,1592,0.0033859529,0.0015217223,
giu,syllable,regular,CVV,syllable,9,133,0.0005782575,0.0000647054,4,161,0.0002780095,0.0010248510,23,1525,0.0005261954,0.0014576800,
geu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gou,syllable,regular,CVV,syllable,43,142,0.0027627859,0.0003091479,27,118,0.0018765638,0.0007511331,119,671,0.0027224891,0.0006413792,
gau,syllable,regular,CVV,syllable,81,277,0.0052043177,0.0005823484,86,358,0.0059772032,0.0022788613,159,1323,0.0036376115,0.0012645971,
gaau,syllable,regular,CVV,syllable,70,296,0.0044975585,0.0005032640,58,386,0.0040311371,0.0024570963,201,2612,0.0045984900,0.0024966951,
gim,syllable,regular,CVN,syllable,6,6,0.0003855050,0.0000431369,9,11,0.0006255213,0.0000700209,27,138,0.0006177076,0.0001319081,
gip,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,4,5,0.0002780095,0.0000318277,3,7,0.0000686342,0.0000066910,
gem,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gep,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gam,syllable,regular,CVN,syllable,73,3706,0.0046903110,0.0005248325,95,4181,0.0066027245,0.0266142995,221,22838,0.0050560512,0.0218298328,
gap,syllable,regular,CVS,syllable,6,9,0.0003855050,0.0000431369,9,12,0.0006255213,0.0000763864,23,122,0.0005261954,0.0001166144,
gaam,syllable,regular,CVN,syllable,23,87,0.0014777692,0.0001653582,11,35,0.0007645260,0.0002227937,33,78,0.0007549760,0.0000745567,
gaap,syllable,regular,CVS,syllable,10,13,0.0006425084,0.0000718949,5,12,0.0003475118,0.0000763864,38,131,0.0008693663,0.0001252171,
gin,syllable,regular,CVN,syllable,63,388,0.0040478026,0.0004529376,37,282,0.0025715874,0.0017950807,135,1886,0.0030885381,0.0018027439,
git,syllable,regular,CVS,syllable,13,43,0.0008352609,0.0000934633,20,51,0.0013900473,0.0003246423,48,382,0.0010981469,0.0003651369,
gen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
get,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gyun,syllable,regular,CVN,syllable,4,14,0.0002570033,0.0000287579,6,15,0.0004170142,0.0000954830,35,92,0.0008007321,0.0000879387,
gyut,syllable,colloquial,CVS,syllable,1,1,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,1,1,0.0000228781,0.0000009559,
geon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
geot,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gan,syllable,regular,CVN,syllable,59,424,0.0037907993,0.0004241797,44,634,0.0030581040,0.0040357488,149,3553,0.0034088309,0.0033961554,
gat,syllable,regular,CVS,syllable,3,10,0.0001927525,0.0000215685,5,8,0.0003475118,0.0000509243,22,69,0.0005033173,0.0000659540,
gaan,syllable,regular,CVN,syllable,32,331,0.0020560267,0.0002300636,37,357,0.0025715874,0.0022724958,82,2363,0.0018760009,0.0022586871,
gaat,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,2,19,0.0000457561,0.0000181613,
gon,syllable,regular,CVN,syllable,13,22,0.0008352609,0.0000934633,17,38,0.0011815402,0.0002418903,62,296,0.0014184397,0.0002829333,
got,syllable,regular,CVS,syllable,3,3,0.0001927525,0.0000215685,5,6,0.0003475118,0.0000381932,5,6,0.0001143903,0.0000057351,
gun,syllable,regular,CVN,syllable,30,94,0.0019275251,0.0002156846,39,79,0.0027105922,0.0005028772,117,453,0.0026767330,0.0004330026,
gut,syllable,colloquial,CVS,syllable,2,2,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ging,syllable,regular,CVN,syllable,62,305,0.0039835518,0.0004457481,64,415,0.0044481512,0.0026416968,128,1266,0.0029283917,0.0012101133,
gik,syllable,regular,CVS,syllable,20,40,0.0012850167,0.0001437897,16,26,0.0011120378,0.0001655039,42,109,0.0009608785,0.0001041883,
geng,syllable,regular,CVN,syllable,12,84,0.0007710100,0.0000862738,8,120,0.0005560189,0.0007638641,25,356,0.0005719515,0.0003402846,
gek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
goeng,syllable,regular,CVN,syllable,4,6,0.0002570033,0.0000287579,0,0,0.0000000000,0.0000000000,12,82,0.0002745367,0.0000783802,
goek,syllable,regular,CVS,syllable,5,12,0.0003212542,0.0000359474,12,37,0.0008340284,0.0002355248,41,177,0.0009380005,0.0001691865,
gang,syllable,regular,CVN,syllable,7,73,0.0004497558,0.0000503264,5,154,0.0003475118,0.0009802923,17,776,0.0003889270,0.0007417440,
gak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gaang,syllable,regular,CVN,syllable,1,1,0.0000642508,0.0000071895,2,2,0.0001390047,0.0000127311,6,10,0.0001372684,0.0000095586,
gaak,syllable,regular,CVS,syllable,22,162,0.0014135184,0.0001581687,23,94,0.0015985544,0.0005983602,49,313,0.0011210249,0.0002991828,
gong,syllable,regular,CVN,syllable,172,1378,0.0110511437,0.0012365916,46,897,0.0031971087,0.0057098844,356,7279,0.0081445893,0.0069576738,
gok,syllable,regular,CVS,syllable,69,845,0.0044333076,0.0004960745,19,745,0.0013205449,0.0047423232,139,1882,0.0031800503,0.0017989205,
gung,syllable,regular,CVN,syllable,90,515,0.0057825752,0.0006470537,82,430,0.0056991938,0.0027371798,258,2530,0.0059025395,0.0024183150,
guk,syllable,regular,CVS,syllable,18,38,0.0011565150,0.0001294107,14,32,0.0009730331,0.0002036971,37,102,0.0008464882,0.0000974973,
ki,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ke,syllable,regular,CV,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,8,19,0.0001830245,0.0000181613,
kyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
koe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ku,syllable,regular,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,2,2,0.0000457561,0.0000019117,
ko,syllable,loan,CV,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kaa,syllable,regular,CV,syllable,2,2,0.0001285017,0.0000143790,7,12,0.0004865165,0.0000763864,60,289,0.0013726836,0.0002762423,
kei,syllable,regular,CVV,syllable,68,853,0.0043690568,0.0004888851,73,793,0.0050736725,0.0050478688,160,4334,0.0036604896,0.0041426787,
keoi,syllable,regular,CVV,syllable,23,2379,0.0014777692,0.0001653582,19,2525,0.0013205449,0.0160729745,66,19044,0.0015099520,0.0182033162,
kui,syllable,regular,CVV,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,2,2,0.0000457561,0.0000019117,
koi,syllable,regular,CVV,syllable,4,55,0.0002570033,0.0000287579,1,2,0.0000695024,0.0000127311,11,258,0.0002516587,0.0002466108,
kai,syllable,regular,CVV,syllable,8,18,0.0005140067,0.0000575159,1,1,0.0000695024,0.0000063655,22,60,0.0005033173,0.0000573513,
kaai,syllable,regular,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kiu,syllable,regular,CVV,syllable,2,3,0.0001285017,0.0000143790,9,25,0.0006255213,0.0001591384,31,84,0.0007092199,0.0000802919,
keu,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
kou,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kau,syllable,regular,CVV,syllable,34,106,0.0021845284,0.0002444425,35,94,0.0024325827,0.0005983602,153,1680,0.0035003432,0.0016058376,
kaau,syllable,regular,CVV,syllable,5,21,0.0003212542,0.0000359474,2,9,0.0001390047,0.0000572898,8,55,0.0001830245,0.0000525721,
kim,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,3,0.0000228781,0.0000028676,
kip,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kem,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kep,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kam,syllable,regular,CVN,syllable,6,17,0.0003855050,0.0000431369,8,38,0.0005560189,0.0002418903,19,63,0.0004346831,0.0000602189,
kap,syllable,regular,CVS,syllable,19,38,0.0012207659,0.0001366002,24,42,0.0016680567,0.0002673524,60,332,0.0013726836,0.0003173441,
kaam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kaap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kin,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kit,syllable,regular,CVS,syllable,1,2,0.0000642508,0.0000071895,3,5,0.0002085071,0.0000318277,4,10,0.0000915122,0.0000095586,
ken,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ket,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kyun,syllable,regular,CVN,syllable,20,93,0.0012850167,0.0001437897,12,28,0.0008340284,0.0001782350,11,22,0.0002516587,0.0000210288,
kyut,syllable,regular,CVS,syllable,13,79,0.0008352609,0.0000934633,12,29,0.0008340284,0.0001846005,25,81,0.0005719515,0.0000774243,
keon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
keot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kan,syllable,regular,CVN,syllable,4,8,0.0002570033,0.0000287579,3,16,0.0002085071,0.0001018486,20,118,0.0004575612,0.0001127910,
kat,syllable,regular,CVS,syllable,1,5,0.0000642508,0.0000071895,2,3,0.0001390047,0.0000190966,5,73,0.0001143903,0.0000697775,
kaan,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kaat,syllable,loan,CVS,syllable,1,1,0.0000642508,0.0000071895,3,9,0.0002085071,0.0000572898,2,2,0.0000457561,0.0000019117,
kon,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kot,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kun,syllable,impossible,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kut,syllable,regular,CVS,syllable,2,32,0.0001285017,0.0000143790,1,5,0.0000695024,0.0000318277,3,13,0.0000686342,0.0000124261,
king,syllable,regular,CVN,syllable,22,74,0.0014135184,0.0001581687,11,65,0.0007645260,0.0004137597,53,925,0.0012125372,0.0008841665,
kik,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
keng,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
kek,syllable,regular,CVS,syllable,3,4,0.0001927525,0.0000215685,9,22,0.0006255213,0.0001400418,17,101,0.0003889270,0.0000965414,
koeng,syllable,regular,CVN,syllable,11,25,0.0007067592,0.0000790843,7,12,0.0004865165,0.0000763864,30,92,0.0006863418,0.0000879387,
koek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559,
kang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,4,0.0001390047,0.0000254621,0,0,0.0000000000,0.0000000000,
kak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kaang,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kaak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kong,syllable,regular,CVN,syllable,14,27,0.0008995117,0.0001006528,1,1,0.0000695024,0.0000063655,25,64,0.0005719515,0.0000611748,
kok,syllable,regular,CVS,syllable,11,23,0.0007067592,0.0000790843,5,12,0.0003475118,0.0000763864,19,92,0.0004346831,0.0000879387,
kung,syllable,regular,CVN,syllable,2,2,0.0001285017,0.0000143790,1,3,0.0000695024,0.0000190966,5,40,0.0001143903,0.0000382342,
kuk,syllable,regular,CVS,syllable,1,2,0.0000642508,0.0000071895,5,7,0.0003475118,0.0000445587,6,9,0.0001372684,0.0000086027,
gwi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwoe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwo,syllable,regular,CV,syllable,17,33,0.0010922642,0.0001222213,49,1028,0.0034056158,0.0065437694,6,6,0.0001372684,0.0000057351,
gwaa,syllable,regular,CV,syllable,11,38,0.0007067592,0.0000790843,12,46,0.0008340284,0.0002928146,44,483,0.0010066346,0.0004616783,
gwei,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gweoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwai,syllable,regular,CVV,syllable,25,64,0.0016062709,0.0001797372,37,256,0.0025715874,0.0016295768,148,1452,0.0033859529,0.0013879025,
gwaai,syllable,regular,CVV,syllable,9,30,0.0005782575,0.0000647054,15,47,0.0010425354,0.0002991801,30,222,0.0006863418,0.0002122000,
gwiu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gweu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwou,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwaau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwaam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwaap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwin,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwit,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwet,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwyun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwyut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gweon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gweot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwan,syllable,regular,CVN,syllable,5,6,0.0003212542,0.0000359474,17,31,0.0011815402,0.0001973316,50,137,0.0011439030,0.0001309522,
gwat,syllable,regular,CVS,syllable,8,12,0.0005140067,0.0000575159,6,24,0.0004170142,0.0001527728,33,113,0.0007549760,0.0001080117,
gwaan,syllable,regular,CVN,syllable,25,129,0.0016062709,0.0001797372,23,78,0.0015985544,0.0004965117,55,463,0.0012582933,0.0004425612,
gwaat,syllable,regular,CVS,syllable,2,2,0.0001285017,0.0000143790,1,1,0.0000695024,0.0000063655,4,12,0.0000915122,0.0000114703,
gwon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwun,syllable,impossible,CVN,syllable,5,5,0.0003212542,0.0000359474,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwing,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,0,0,0.0000000000,0.0000000000,
gwik,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gweng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwek,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwoeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwoek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,2,2,0.0000457561,0.0000019117,
gwak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwaang,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwaak,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwong,syllable,regular,CVN,syllable,11,23,0.0007067592,0.0000790843,30,67,0.0020850709,0.0004264908,23,48,0.0005261954,0.0000458811,
gwok,syllable,regular,CVS,syllable,10,85,0.0006425084,0.0000718949,24,154,0.0016680567,0.0009802923,9,11,0.0002059025,0.0000105144,
gwung,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
gwuk,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwi,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwoe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwo,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
kwaa,syllable,regular,CV,syllable,6,15,0.0003855050,0.0000431369,2,7,0.0001390047,0.0000445587,7,46,0.0001601464,0.0000439694,
kwei,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
