Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
wot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wun,syllable,regular,CVN,syllable,11,13,0.0007067592,0.0000790843,6,39,0.0004170142,0.0002482558,49,388,0.0011210249,0.0003708720,
wut,syllable,regular,CVS,syllable,5,44,0.0003212542,0.0000359474,8,30,0.0005560189,0.0001909660,25,217,0.0005719515,0.0002074207,
wing,syllable,regular,CVN,syllable,1,18,0.0000642508,0.0000071895,13,38,0.0009035307,0.0002418903,40,102,0.0009151224,0.0000974973,
wik,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,1,2,0.0000695024,0.0000127311,2,8,0.0000457561,0.0000076468,
weng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
woeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
woek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,8,13,0.0001830245,0.0000124261,
wak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
waang,syllable,regular,CVN,syllable,1,1,0.0000642508,0.0000071895,4,9,0.0002780095,0.0000572898,15,50,0.0003431709,0.0000477928,
waak,syllable,regular,CVS,syllable,12,278,0.0007710100,0.0000862738,9,189,0.0006255213,0.0012030860,17,523,0.0003889270,0.0004999125,
wong,syllable,regular,CVN,syllable,19,44,0.0012207659,0.0001366002,31,77,0.0021545733,0.0004901462,144,458,0.0032944406,0.0004377819,
wok,syllable,regular,CVS,syllable,3,6,0.0001927525,0.0000215685,4,8,0.0002780095,0.0000509243,8,18,0.0001830245,0.0000172054,
wung,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
