OrthographicRepresentationTraditional,OrthographicRepresentationSimplified,PhonologicalRepresentationJyutping,NumberOfSyllables,PartOfSpeech,HKCACFrequency,HKCACProbability,HKCanCorFrequency,HKCanCorProbability,IARPAFrequency,IARPAProbability,TotalFrequency,TotalProbability,HKFrequency,HKProbability,,,,,,
米線,米线,mai5sin3,2,N,0,0.0000000000,5,0.0000416747,0,0.0000000000,5,0.0000047613,5,0.0000227907,,,,,,
係噉先,系噉先,hai6gam2sin1,3,"L, L1",0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
擘大,擘大,maak3daai6,2,V,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
達明,达明,daat6ming4,2,NR,0,0.0000000000,8,0.0000666794,0,0.0000000000,8,0.0000076181,8,0.0000364651,,,,,,
繁複,繁复,faan4fuk1,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
人格,人格,jan4gaak3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
燒賣仔,烧卖仔,siu1maai2zai2,3,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
阿嘉樂仔,阿嘉乐仔,aa3gaa1lok6zai2,4,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
不法之徒,不法之徒,bat1faat3zi1tou4,4,L,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
傾偈,倾偈,king1gai2,2,V,0,0.0000000000,13,0.0001083541,0,0.0000000000,13,0.0000123794,13,0.0000592557,,,,,,
萬六,万六,maan6luk6,2,M,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
上層,上层,soeng6cang4,2,F,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
結他,结他,git3taa1,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
文學史,文学史,man4hok6si2,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
直至到,直至到,zik6zi3dou3,3,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
極之,极之,gik6zi1,2,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
龍吐珠,龙吐珠,lung4tou3zyu1,3,N,0,0.0000000000,8,0.0000666794,0,0.0000000000,8,0.0000076181,8,0.0000364651,,,,,,
超人,超人,ciu1jan4,2,NR,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
食水,食水,sik6seoi2,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
婆孫,婆孙,po4syun1,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
幕後,幕后,mok6hau6,2,"N, F",0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
低能,低能,dai1nang4,2,A,0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
仆去,仆去,puk1heoi3,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
履歷,履历,lei5lik6,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
對拳,对拳,deoi3kyun4,2,VN,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
婦權,妇权,fu5kyun4,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
前頭,前头,cin4tau4,2,F,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
笑片,笑片,siu3pin2,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
阿浩,阿浩,aa3hou6,2,NR,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
桀桀,桀桀,kit1kit1,2,O,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
dan4dan3dan4dan3,dan4dan3dan4dan3,dan4dan3dan4dan3,16,"O, XX",0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
報仇,报仇,bou3sau4,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
菲,菲,fei1,1,NR,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
回流,回流,wui4lau4,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
九二年,九二年,gau2ji6nin4,3,T,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
梳打粉,梳打粉,so1daa2fan2,3,N,0,0.0000000000,7,0.0000583445,0,0.0000000000,7,0.0000066658,7,0.0000319069,,,,,,
千二,千二,cin1ji6,2,M,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
叫住,叫住,giu3zyu6,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
安穩,安稳,on1wan2,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
洗牙,洗牙,sai2ngaa4,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
正一,正一,zing3jat1,2,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
華航,华航,waa4hong4,2,JNT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
孔子,孔子,hung2zi2,2,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
次等,次等,ci3dang2,2,B,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
無力感,无力感,mou4lik6gam2,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
租戶,租户,zou1wu6,2,N,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
梨,梨,lei4,1,"N, N",0,0.0000000000,9,0.0000750144,0,0.0000000000,9,0.0000085703,9,0.0000410232,,,,,,
沸,沸,fai3,1,X,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
美芳,美芳,mei5fong1,2,NR,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
豬朋,猪朋,zyu1pang4,2,LG,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
手頭上,手头上,sau2tau4soeng6,3,S,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
依賴,依赖,ji1laai6,2,V,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
武俠,武侠,mou5hap6,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
超自然,超自然,ciu1zi6jin4,3,B,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
青苔,青苔,ceng1toi4,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
補習天王,补习天王,bou2zaap6tin1wong4,4,NZ,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
困,困,kwan3,1,"NG, V",0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
檸茶,柠茶,ling2caa4,2,N,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
只不過,只不过,zi2bat1gwo3,3,D,0,0.0000000000,7,0.0000583445,0,0.0000000000,7,0.0000066658,7,0.0000319069,,,,,,
廉政公署,廉政公署,lim4zing3gung1cyu5,4,NT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
星球人,星球人,sing1kau4jan4,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
騎馬瘟,骑马瘟,ke4maa5wan1,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
起腳,起脚,hei2goek3,2,V,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
鴨店,鸭店,aap3dim3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
雞糞,鸡粪,gai1fan3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
有賴,有赖,jau5laai6,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
lik1gu1lik1gu1,lik1gu1lik1gu1,lik1gu1lik1gu1,14,X,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
係嘢,系嘢,hai6je5,2,A,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
台費,台费,toi4fai3,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
阿澤鉅,阿泽鉅,aa3zaak6geoi6,3,NR,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
遊街,游街,jau4gaai1,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
神聖,神圣,san4sing3,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
茶壺,茶壶,caa4wu2,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
着緊,着紧,zoek6gan2,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
阿香蕉,阿香蕉,aa3hoeng1ziu1,3,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
歌劇院,歌剧院,go1kek6jyun2,3,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
奧秘,奥秘,ou3bei3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
西隧,西隧,sai1seoi6,2,JNS,0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
寧缺莫濫,宁缺莫滥,ning4kyut3mok6laam5,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
我有過牆梯,我有过墙梯,ngo5jau5gwo3coeng4tai1,5,L,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
��,��,gaa3,2,"Y, Y, D, Y1, U, U, Y, C, Y, Y, U, Y1, Y1, E, U, V, V, V, N, V",0,0.0000000000,2882,0.0240212707,0,0.0000000000,2882,0.0027444143,2882,0.0131365435,,,,,,
青山公路,青山公路,cing1saan1gung1lou6,4,NS,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
一時之間,一时之间,jat1si4zi1gaan1,4,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
對上,对上,deoi3soeng6,2,"F, F, A",0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
唔妥,唔妥,m4to5,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
先輪,先轮,sin1leon4,2,T,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
巨大,巨大,geoi6daai6,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
新牌,新牌,san1paai4,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
鬥氣冤家,斗气冤家,dau3hei3jyun1gaa1,4,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
哩個,哩个,ni1go3,2,R,0,0.0000000000,342,0.0028505464,0,0.0000000000,342,0.0003256730,342,0.0015588820,,,,,,
佢度,佢度,keoi5dou6,2,R,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
阿們,阿们,aa3mun4,2,L,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
大姐明,大姐明,daai6ze1ming1,3,NR,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
談論,谈论,taam4leon6,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
奇特,奇特,kei4dak6,2,A,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
系列,系列,hai6lit6,2,N,0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
合拍,合拍,hap6paak3,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
二五仔,二五仔,ji6ng5zai2,3,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
不過不失,不过不失,bat1gwo3bat1sat1,4,"I, L",0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
難忘,难忘,naan4mong4,2,"A, V",0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
不願置評,不愿置评,bat1jyun6zi3ping4,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
壯士,壮士,zong3si6,2,N,0,0.0000000000,7,0.0000583445,0,0.0000000000,7,0.0000066658,7,0.0000319069,,,,,,
好人,好人,hou2jan4,2,A,0,0.0000000000,8,0.0000666794,0,0.0000000000,8,0.0000076181,8,0.0000364651,,,,,,
的而且確,的而且确,dik1ji4ce2kok3,4,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
空中巴士,空中巴士,hung1zung1baa1si2,4,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
宣佈,宣佈,syun1bou3,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
七七八八,七七八八,cat1cat1baat3baat3,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
稱讚,称赞,cing1zaan3,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
唔切,唔切,m4cit3,2,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
泰臣,泰臣,taai3san4,2,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
德華,德华,dak1waa4,2,NR,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
嚴冬,严冬,jim4dung1,2,T,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
封面,封面,fung1min2,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
勞工處,劳工处,lou4gung1cyu3,3,NT,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
杏,杏,hang6,1,"A, A",0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
回魂,回魂,wui4wan4,2,V,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
佈局,佈局,bou3guk6,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
申請表,申请表,san1cing2biu2,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
借問聲,借问声,ze3man6seng1,3,"L, V",0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
彈力,弹力,daan6lik6,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
專欄,专栏,zyun1laan4,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
丙,丙,bing2,1,V,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
心廣體胖,心广体胖,sam1gwong2tai2bun6,4,L,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
情趣,情趣,cing4ceoi3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
手掣,手掣,sau2zai3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
義不容情,义不容情,ji6bat1jung4cing4,4,NZ,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
獎勵,奖励,zoeng2lai6,2,"V, VN",0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
皮肉之苦,皮肉之苦,pei4juk6zi1fu2,4,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
先排,先排,sin1paai4,2,T,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
牌匾,牌匾,paai4bin2,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
犯案,犯案,faan6on3,2,V,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
研究室,研究室,jin4gau3sat1,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
準繩度,准绳度,zeon2sing4dou6,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
咀唇,咀唇,zeoi2seon4,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
嗲哋,嗲哋,de1di4,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
簡稱,简称,gaan2cing1,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
wei1,wei1,wei1,4,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
du1du1,du1du1,du1du1,6,O,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
恆生,恆生,hang4sang1,2,NT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
春季,春季,ceon1gwai3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
中文版,中文版,zung1man4baan2,3,NZ,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
熱衷,热衷,jit6cung1,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
鰂魚涌,鲗鱼涌,zak1jyu4cung1,3,NS,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
南灣,南湾,naam4waan1,2,NS,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
種族歧視,种族歧视,zung2zuk6kei4si6,4,VN,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
恆生銀行,恆生银行,hang4sang1ngan4hong4,4,NT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
斯里蘭卡,斯里兰卡,si1lei5laan4kaa1,4,NT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
疲弱,疲弱,pei4joek6,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
伴唱,伴唱,bun6coeng3,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
倒轉頭,倒转头,dou3zyun3tau4,3,D,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
失控,失控,sat1hung3,2,V,0,0.0000000000,5,0.0000416747,0,0.0000000000,5,0.0000047613,5,0.0000227907,,,,,,
觸覺,触觉,zuk1gok3,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
風嘯嘯兮,风啸啸兮,fung1siu1siu1hai4,4,L,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
甚,甚,sam6,1,DG,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
琴日,琴日,kam4jat6,2,T,0,0.0000000000,13,0.0001083541,0,0.0000000000,13,0.0000123794,13,0.0000592557,,,,,,
為例,为例,wai4lai6,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
貪慕虛榮,贪慕虚荣,taam1mou6heoi1wing4,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
嗰次,嗰次,go2ci3,2,R,0,0.0000000000,8,0.0000666794,0,0.0000000000,8,0.0000076181,8,0.0000364651,,,,,,
紙包,纸包,zi2baau1,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
貿貿然,贸贸然,mau6mau6jin4,3,Z,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
嘺,嘺,kiu2,1,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
無得頂,无得顶,mou5dak1ding2,3,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
夠鐘,够钟,gau3zung1,2,"V, A",0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
羅師,罗师,lo4si1,2,JNT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
荔景,荔景,lai6ging2,2,NS,0,0.0000000000,7,0.0000583445,0,0.0000000000,7,0.0000066658,7,0.0000319069,,,,,,
調包,调包,diu6baau1,2,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
零晨,零晨,ling4san4,2,T,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
月費,月费,jyut6fai3,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
一六八,一六八,jat1luk6baat3,3,M,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
紅白機,红白机,hung4baak6gei1,3,NZ,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
飛線,飞线,fei1sin3,2,V,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
稱得上,称得上,cing1dak1soeng5,3,V,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
蠶蟲,蚕虫,caam4cung2,2,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
物理治療師,物理治疗师,mat6lei5zi6liu4si1,5,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
殺雞取卵,杀鸡取卵,saat3gai1ceoi2leon2,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
齊頭,齐头,cai4tau4,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
就來,就来,zau6lai4,2,D,0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
娓娓道來,娓娓道来,mei5mei5dou6loi4,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
彩虹,彩虹,coi2hung4,2,NS,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
打骰,打骰,daa2sik1,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
粗製濫造,粗制滥造,cou1zai3laam5zou6,4,I,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
八六年,八六年,baat3luk6nin4,3,T,0,0.0000000000,3,0.0000250048,0,0.0000000000,3,0.0000028568,3,0.0000136744,,,,,,
鐵達尼,铁达尼,tit3daat6nei4,3,NZ,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
註冊,註册,zyu3caak3,2,V,0,0.0000000000,4,0.0000333397,0,0.0000000000,4,0.0000038090,4,0.0000182325,,,,,,
釋然,释然,sik1jin4,2,A,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
傳教士,传教士,cyun4gaau3si6,3,N,0,0.0000000000,2,0.0000166699,0,0.0000000000,2,0.0000019045,2,0.0000091163,,,,,,
標本,标本,biu1bun2,2,N,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
國泰航空公司,国泰航空公司,gwok3taai3hong4hung1gung1si1,6,NT,0,0.0000000000,1,0.0000083349,0,0.0000000000,1,0.0000009523,1,0.0000045581,,,,,,
